"","manufacturer","model","year","average_price"
"495","bmw","m",2012,31528.5217391304
"496","bmw","m",2013,39693.56
"497","bmw","m",2014,45502.380952381
"498","bmw","m",2015,40969.4130434783
"499","bmw","m",2016,46619.275862069
"500","bmw","m",2017,47514.6666666667
"501","bmw","m",2018,47743.9444444444
"502","bmw","m",2019,55000
"503","bmw","r",2013,9995
"504","bmw","r",2015,8500
"505","bmw","s",2011,10500
"506","bmw","s",2012,9500
"507","bmw","x",2000,5249.5
"508","bmw","x",2001,5919.28571428571
"509","bmw","x",2002,5368.8
"510","bmw","x",2003,5009.53333333333
"511","bmw","x",2004,6345.89189189189
"512","bmw","x",2005,7439.90243902439
"513","bmw","x",2006,6397.63492063492
"514","bmw","x",2007,7710.79268292683
"515","bmw","x",2008,7846.05357142857
"516","bmw","x",2009,9772.41176470588
"517","bmw","x",2010,11129.4193548387
"518","bmw","x",2011,13329.7222222222
"519","bmw","x",2012,15827.7636363636
"520","bmw","x",2013,15073.7886363636
"521","bmw","x",2014,17903.226618705
"522","bmw","x",2015,23626.6375545852
"523","bmw","x",2016,27022.5222551929
"524","bmw","x",2017,31131.5644768856
"525","bmw","x",2018,37852.2851851852
"526","bmw","x",2019,39237.5328467153
"527","bmw","x",2020,38729.1904761905
"528","bmw","x",2021,44770
"529","bmw","z",1996,7950
"530","bmw","z",1998,10289
"531","bmw","z",1999,15015.6315789474
"532","bmw","z",2000,11314.4
"533","bmw","z",2001,10387.9523809524
"534","bmw","z",2002,11119.4
"535","bmw","z",2003,9339.57142857143
"536","bmw","z",2004,9367.14285714286
"537","bmw","z",2005,9890.5
"538","bmw","z",2006,11416.1176470588
"539","bmw","z",2007,12798.7058823529
"540","bmw","z",2008,14411.75
"541","bmw","z",2009,19805
"542","bmw","z",2011,32168.3703703704
"543","bmw","z",2012,21550
"544","bmw","z",2013,25590
"545","bmw","z",2014,25922.52
"546","bmw","z",2015,31024.4444444444
"547","bmw","z",2016,31233.1666666667
"548","buick","2016",2016,12500
